Modelo,Accuracy,Precision,Recall,F1-score,AUC
TF-IDF + SVM,0.9,0.8928571428571429,0.9259259259259259,0.9090909090909091,0.9307568438003221
TF-IDF + Random Forest,0.82,0.78125,0.9259259259259259,0.847457627118644,0.9347826086956521
Word2Vec + Random Forest,0.6,0.5853658536585366,0.8888888888888888,0.7058823529411765,0.6400966183574879
Word2Vec + SVM,0.52,0.5483870967741935,0.6296296296296297,0.5862068965517241,0.4830917874396135
